artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,False,0030124800-000060,0030124800-000060,0030124800-000060,BR_00000006,BR_00000001,numeric-chain-000019,4,9,23,1116,0.5,770,810,DX52D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030124800-000050,0030124800-000050,0030124800-000050,BR_00000006,BR_00000001,numeric-chain-000019,4,10,23,1066,0.5,770,810,DX52D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002184-000130,0002002184-000130,0002002184-000130,BR_00000006,BR_00000001,numeric-chain-000019,4,11,19,1063,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002195-000050,0002002195-000050,0002002195-000050,BR_00000006,BR_00000001,numeric-chain-000019,4,12,48,1063,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002202-000050,0002002202-000050,0002002202-000050,BR_00000006,BR_00000001,numeric-chain-000019,4,13,25,1060,0.7,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002195-000040,0002002195-000040,0002002195-000040,BR_00000006,BR_00000001,numeric-chain-000019,4,14,64.87,1051,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002176-000210,0002002176-000210,0002002176-000210,BR_00000006,BR_00000001,numeric-chain-000019,4,15,15,1042,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002195-000220,0002002195-000220,0002002195-000220,BR_00000006,BR_00000001,numeric-chain-000019,4,16,80,1040,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002184-000210,0002002184-000210,0002002184-000210,BR_00000006,BR_00000001,numeric-chain-000019,4,17,25,1030,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002180-000030,0002002180-000030,0002002180-000030,BR_00000006,BR_00000001,numeric-chain-000019,4,18,89,1020,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002176-000090,0002002176-000090,0002002176-000090,BR_00000006,BR_00000001,numeric-chain-000019,4,19,20,983,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002170-000280,0002002170-000280,0002002170-000280,BR_00000006,BR_00000001,numeric-chain-000019,4,20,19,971,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002180-000050,0002002180-000050,0002002180-000050,BR_00000006,BR_00000001,numeric-chain-000019,4,21,20,910,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002195-000210,0002002195-000210,0002002195-000210,BR_00000006,BR_00000001,numeric-chain-000019,4,22,8.86,830,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002170-000130,0002002170-000130,0002002170-000130,BR_00000006,BR_00000001,numeric-chain-000019,4,23,55,828,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002193-000040,0002002193-000040,0002002193-000040,BR_00000006,BR_00000001,numeric-chain-000008,5,1,104,1665,0.7,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123647-000010,0030123647-000010,0030123647-000010,BR_00000006,BR_00000001,numeric-chain-000008,5,2,6.15,1675,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002193-000020,0002002193-000020,0002002193-000020,BR_00000006,BR_00000001,numeric-chain-000008,5,3,260,1640,0.8,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123646-000010,0030123646-000010,0030123646-000010,BR_00000006,BR_00000001,numeric-chain-000008,5,4,12,1620,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123936-000020,0030123936-000020,0030123936-000020,BR_00000006,BR_00000001,numeric-chain-000008,5,5,327.94,1465,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123143-000010,0030123143-000010,0030123143-000010,BR_00000006,BR_00000001,numeric-chain-000008,5,6,52,1455,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123936-000010,0030123936-000010,0030123936-000010,BR_00000006,BR_00000001,numeric-chain-000008,5,7,182,1440,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123142-000020,0030123142-000020,0030123142-000020,BR_00000006,BR_00000001,numeric-chain-000008,5,8,182,1440,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123143-000040,0030123143-000040,0030123143-000040,BR_00000006,BR_00000001,numeric-chain-000008,5,9,67.97,1430,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002180-000280,0002002180-000280,0002002180-000280,BR_00000006,BR_00000001,numeric-chain-000008,5,10,20,1390,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123425-000020,0030123425-000020,0030123425-000020,BR_00000006,BR_00000001,numeric-chain-000008,5,11,130,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123143-000060,0030123143-000060,0030123143-000060,BR_00000006,BR_00000001,numeric-chain-000008,5,12,78,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123142-000040,0030123142-000040,0030123142-000040,BR_00000006,BR_00000001,numeric-chain-000008,5,13,156,1360,0.65,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030124735-000060,0030124735-000060,0030124735-000060,BR_00000006,BR_00000001,numeric-chain-000008,5,14,24,1360,0.8,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030122476-000050,0030122476-000050,0030122476-000050,BR_00000006,BR_00000001,numeric-chain-000008,5,15,8,1325,1,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000061,,,,BR_00000001,numeric-chain-000008,5,16,20.00,1250,1.20,820,850,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":61,""prototype_id"":""virtual_sphc:1250x1.2"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0002002058-000020,0002002058-000020,0002002058-000020,BR_00000001,BR_00000001,numeric-chain-000008,5,17,18.91,1260,1.5,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002187-000010,0002002187-000010,0002002187-000010,BR_00000006,BR_00000001,numeric-chain-000005,6,1,25,1710,0.6,810,830,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030124871-000070,0030124871-000070,0030124871-000070,BR_00000006,BR_00000001,numeric-chain-000005,6,2,230,1250,0.75,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
