chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000014,BR_00000001,4,0002002176-000220,0002002176-000220,0002002176-000220,BR_00000006,normal_real,15.0,1485.0,0.6,770.0,810.0,DC51D+Z,,,,,,,56,03,2026-06-30
initial-000014,BR_00000001,5,0030118006-000070,0030118006-000070,0030118006-000070,BR_00000001,normal_real,43.72,1480.0,0.8,700.0,840.0,DC51D+Z,,,,,,,57,03,2026-05-31
initial-000014,BR_00000001,6,0030123142-000010,0030123142-000010,0030123142-000010,BR_00000006,normal_real,312.0,1465.0,0.7,830.0,850.0,SCG4+Z,,,,,,,58,03,2026-06-30
initial-000014,BR_00000001,7,0030123142-000020,0030123142-000020,0030123142-000020,BR_00000006,normal_real,182.0,1440.0,0.7,830.0,850.0,SCG4+Z,,,,,,,59,03,2026-06-30
initial-000014,BR_00000001,8,0002002170-000430,0002002170-000430,0002002170-000430,BR_00000006,normal_real,23.0,1440.0,0.65,830.0,850.0,DC53D+Z,,,,,,,60,03,2026-06-30
initial-000014,BR_00000001,9,0002002055-000100,0002002055-000100,0002002055-000100,BR_00000001,normal_real,18.26,1413.0,0.6,820.0,840.0,DX53D+Z-MD,,,,,,,61,03,2026-05-31
initial-000014,BR_00000001,10,0030125168-000070,0030125168-000070,0030125168-000070,BR_00000006,normal_real,24.0,1405.0,0.5,820.0,840.0,DX53D+Z-LG,,,,,,,62,03,2026-06-30
initial-000014,BR_00000001,11,0030121799-000010,0030121799-000010,0030121799-000010,BR_00000006,normal_real,168.0,1395.0,0.6,830.0,850.0,DC54D+Z,,,,,,,63,03,2026-06-30
initial-000014,BR_00000001,12,0030121346-000020,0030121346-000020,0030121346-000020,BR_00000002,normal_real,48.0,1393.0,0.5,820.0,840.0,DX53D+Z,,,,,,,64,03,2026-06-10
initial-000014,BR_00000001,13,0030125168-000010,0030125168-000010,0030125168-000010,BR_00000006,normal_real,72.0,1375.0,0.4,700.0,840.0,DC51D+Z,,,,,,,65,03,2026-06-30
initial-000014,BR_00000001,14,0002002054-000010,0002002054-000010,0002002054-000010,BR_00000001,normal_real,36.83,1365.0,0.5,820.0,840.0,DX53D+Z-CD,,,,,,,66,03,2026-05-31
initial-000014,BR_00000001,15,0010019718-000010,0010019718-000010,0010019718-000010,BR_00000006,actual_transition,58.0,1350.0,0.5,700.0,840.0,DC51D+Z,,,,,,,67,03,2026-06-30
initial-000014,BR_00000001,16,0030123654-000020,0030123654-000020,0030123654-000020,BR_00000006,normal_real,48.0,1346.0,0.5,715.0,735.0,DX51D+Z1,,,,,,,68,03,2026-06-30
initial-000014,BR_00000001,17,0030125168-000030,0030125168-000030,0030125168-000030,BR_00000006,normal_real,48.0,1326.0,0.4,700.0,840.0,DC51D+Z,,,,,,,69,03,2026-06-30
initial-000014,BR_00000001,18,0030125168-000020,0030125168-000020,0030125168-000020,BR_00000006,normal_real,48.0,1306.0,0.4,700.0,840.0,DC51D+Z,,,,,,,70,03,2026-06-30
initial-000014,BR_00000001,19,0030119098-000010,0030119098-000010,0030119098-000010,BR_00000001,normal_real,22.98,1306.0,0.4,700.0,840.0,DC51D+Z,,,,,,,71,03,2026-05-31
initial-000014,BR_00000001,20,0002002054-000270,0002002054-000270,0002002054-000270,BR_00000001,normal_real,12.7,1258.0,0.4,815.0,835.0,DX51D+Z-MD,,,,,,,72,03,2026-05-31
initial-000014,BR_00000001,21,0002002054-000350,0002002054-000350,0002002054-000350,BR_00000001,normal_real,98.97,1250.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,,73,03,2026-05-31
initial-000014,BR_00000001,22,0002002054-000320,0002002054-000320,0002002054-000320,BR_00000001,normal_real,23.0,1235.0,0.5,820.0,840.0,DX53D+Z-CD,,,,,,,74,03,2026-05-31
