chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000003,BR_00000001,32,0002002055-000110,0002002055-000110,0002002055-000110,BR_00000001,normal_real,15.3,1100.0,0.8,815.0,835.0,DX51D+Z-MD,,,,,,,70,02,2026-05-31
initial-000003,BR_00000001,33,0030124574-000010,0030124574-000010,0030124574-000010,BR_00000006,actual_transition,23.0,1100.0,1.0,700.0,840.0,DC51D+Z,,,,,,,71,02,2026-06-30
initial-000003,BR_00000001,34,0030124824-000010,0030124824-000010,0030124824-000010,BR_00000006,normal_real,20.0,1060.0,0.95,710.0,730.0,DX51D+Z,,,,,,,72,02,2026-06-30
initial-000003,BR_00000001,35,0030124826-000010,0030124826-000010,0030124826-000010,BR_00000006,normal_real,40.0,1000.0,1.15,710.0,730.0,DX51D+Z,,,,,,,73,02,2026-06-30
initial-000003,BR_00000001,36,0030124207-000010,0030124207-000010,0030124207-000010,BR_00000006,actual_transition,24.0,1000.0,1.2,700.0,840.0,DC51D+Z,,,,,,,74,02,2026-06-30
initial-000003,BR_00000001,37,0002002180-000160,0002002180-000160,0002002180-000160,BR_00000006,normal_real,20.0,885.0,1.4,770.0,810.0,DC51D+Z,,,,,,,75,02,2026-06-30
initial-000008,BR_00000001,0,0002002193-000030,0002002193-000030,0002002193-000030,BR_00000006,normal_real,52.0,1655.0,1.0,770.0,810.0,DC51D+Z,,,,,,,76,03,2026-06-30
initial-000008,BR_00000001,1,0010020206-000100,0010020206-000100,0010020206-000100,BR_00000006,actual_transition,95.94,1500.0,1.0,700.0,840.0,DC51D+Z,,,,,,,77,03,2026-06-30
initial-000008,BR_00000001,2,0030120817-000050,0030120817-000050,0030120817-000050,BR_00000003,normal_real,50.0,1480.0,1.2,785.0,815.0,HC420/780DPD+Z,,,,,,,78,03,2026-06-15
initial-000008,BR_00000001,3,0030124735-000110,0030124735-000110,0030124735-000110,BR_00000006,actual_transition,24.0,1350.0,1.4,700.0,840.0,DX51D+Z,,,,,,,79,03,2026-06-30
initial-000008,BR_00000001,4,0030124735-000070,0030124735-000070,0030124735-000070,BR_00000006,normal_real,24.0,1350.0,1.4,805.0,825.0,HC260YD+Z,,,,,,,80,03,2026-06-30
initial-000008,BR_00000001,5,0030121501-000010,0030121501-000010,0030121501-000010,BR_00000001,normal_real,25.11,1330.0,1.2,800.0,820.0,HC260YD+Z,,,,,,,81,03,2026-05-31
initial-000008,BR_00000001,6,virtual-000018,,,,virtual_sphc,20.0,1250.0,1.5,760.0,820.0,SPHC,,,virtual_sphc:1250x1.5,edge_bridge,18,,82,03,不适用
initial-000008,BR_00000001,7,virtual-000019,,,,virtual_sphc,20.0,1250.0,2.0,760.0,820.0,SPHC,,,virtual_sphc:1250x2,edge_bridge,19,,83,03,不适用
initial-000008,BR_00000001,8,0030122066-000070,0030122066-000070,0030122066-000070,BR_00000003,normal_real,24.0,1299.0,2.49,760.0,780.0,HC340/590DPD+Z,,,,,,,84,03,2026-06-15
initial-000008,BR_00000001,9,virtual-000020,,,,virtual_sphc,20.0,1250.0,2.0,760.0,810.0,SPHC,,,virtual_sphc:1250x2,edge_bridge,20,,85,03,不适用
initial-000008,BR_00000001,10,virtual-000021,,,,virtual_sphc,20.0,1250.0,1.5,760.0,810.0,SPHC,,,virtual_sphc:1250x1.5,edge_bridge,21,,86,03,不适用
initial-000008,BR_00000001,11,0002002170-000350,0002002170-000350,0002002170-000350,BR_00000006,normal_real,23.0,1300.0,1.2,770.0,810.0,DC51D+Z,,,,,,,87,03,2026-06-30
initial-000008,BR_00000001,12,0030122488-000020,0030122488-000020,0030122488-000020,BR_00000006,normal_real,96.0,1250.0,1.25,770.0,810.0,DC52D+Z,,,,,,,88,03,2026-06-30
initial-000008,BR_00000001,13,0010019881-000040,0010019881-000040,0010019881-000040,BR_00000006,actual_transition,96.0,1250.0,1.45,700.0,840.0,DC51D+Z,,,,,,,89,03,2026-06-30
initial-000008,BR_00000001,14,0030120939-000090,0030120939-000090,0030120939-000090,BR_00000002,normal_real,24.0,1250.0,1.5,810.0,830.0,HC180YD+Z,,,,,,,90,03,2026-06-10
initial-000008,BR_00000001,15,0030124735-000080,0030124735-000080,0030124735-000080,BR_00000006,normal_real,24.0,1250.0,1.8,805.0,825.0,HC260YD+Z,,,,,,,91,03,2026-06-30
initial-000008,BR_00000001,16,0030125101-000030,0030125101-000030,0030125101-000030,BR_00000006,actual_transition,48.0,1242.0,1.5,700.0,840.0,DC51D+Z,,,,,,,92,03,2026-06-30
initial-000008,BR_00000001,17,0030121432-000010,0030121432-000010,0030121432-000010,BR_00000002,normal_real,48.0,1235.0,1.35,795.0,815.0,HC220YD+Z,,,,,,,93,03,2026-06-10
initial-000008,BR_00000001,18,0002002202-000110,0002002202-000110,0002002202-000110,BR_00000006,normal_real,23.0,1218.0,1.2,770.0,810.0,DC51D+Z,,,,,,,94,03,2026-06-30
initial-000008,BR_00000001,19,0002002185-000090,0002002185-000090,0002002185-000090,BR_00000006,normal_real,1.97,1215.0,1.2,770.0,810.0,DC51D+Z,,,,,,,95,03,2026-06-30
initial-000008,BR_00000001,20,0002002170-000050,0002002170-000050,0002002170-000050,BR_00000006,normal_real,23.0,1175.0,1.2,770.0,810.0,DC51D+Z,,,,,,,96,03,2026-06-30
initial-000008,BR_00000001,21,0030124683-000050,0030124683-000050,0030124683-000050,BR_00000006,normal_real,23.0,1140.0,1.2,795.0,815.0,HC220YD+Z,,,,,,,97,03,2026-06-30
initial-000008,BR_00000001,22,0030125170-000010,0030125170-000010,0030125170-000010,BR_00000006,normal_real,20.0,1070.0,1.2,795.0,815.0,HC220YD+Z-GL,,,,,,,98,03,2026-06-30
